France;Paris
Peru;Lima
Colombia;Bogotá
Iraq;Baghdad
Rwanda;Kigali
Japan;Tokyo
USA;Washington, D.C.
Canada;Ottawa
Australia;Canberra
Argentina;Buenos Aires
Russia;Moscow
Austria;Vienna
Brazil;Brasília
Cambodia;Phnom Penh
Chile;Santiago
Denmark;Copenhagen
Ecuador;Quito
Egypt;Cairo
Estonia;Tallinn
Greece;Athens
Finland;Helsinki
Iceland;Reykjavík
India;New Delhi
Iran;Tehran
Libya;Tripoli
Mali;Bamako
Pakistan;Islamabad
China;Beijing
Indonesia;Jakarta
Bangladesh;Dhaka
Nigeria;Abuja
South Korea;Seoul
Mexico;Mexico City
United Kingdom;London
